1,Flashspan,Bunker Hill,,217
2,Youbridge,Ohio,,37944
3,Skippad,Mayfield,,3340
4,Gigashots,Lukken,0850,1
5,Yotz,Becker,96-130,49
6,Kare,American,,84
7,Demimbu,Di Loreto,,321
8,Vinder,Morning,50490,0
9,Tanoodle,Nevada,,9045
10,Flashpoint,Meadow Valley,,9
11,Skynoodle,Clarendon,89856-000,4132
12,Quimm,Anthes,,689
13,Photolist,Susan,870-0002,0035
14,Ailane,Anthes,98-311,83
15,Ozu,Dryden,957-0353,8584
16,Innojam,Little Fleur,,18192
17,Zoomdog,Del Mar,353210,8901
18,Blogpad,Loeprich,21-200,2973
19,Meevee,Artisan,5155-205,1170
20,Skyvu,Messerschmidt,,4
21,Dynabox,Moose,26301,232
22,Jayo,Montana,,18
23,Quinu,Sachs,4650-805,388
24,Eazzy,Boyd,,88
25,Cogibox,Bonner,,45464
26,Kwideo,Boyd,,3
27,Meevee,Scoville,,56275
28,Trunyx,Sundown,BH21,9354
29,Jabbertype,Del Mar,V5M,95763
30,Livefish,Glendale,7005,2
31,Tagopia,Ridgeview,330 03,03
32,Photofeed,Kinsman,,4
33,Twitterbridge,Kim,,946
34,Yambee,Linden,33314 CEDEX,30609
35,Blogpad,Lighthouse Bay,611 81,6
36,Skynoodle,Stuart,,8
37,Fatz,Shoshone,319-1417,9759
38,Mudo,Thompson,,7
39,Gabtype,Sachs,949-3376,82520
40,Ailane,Manufacturers,,2326
41,Oloo,Sauthoff,,54385
42,Teklist,Shasta,,993
43,Quinu,Hermina,,61
44,Voolia,Eagle Crest,9009,262
45,Divanoodle,Kinsman,504 00,1
46,Browsebug,Esker,,0869
47,Zoovu,Meadow Ridge,,11893
48,Skaboo,Village,,9
49,Jaxworks,Magdeline,3405-260,209
50,Eayo,Sundown,1497,4248
51,Dabshots,American Ash,7203,0818
52,Yambee,Randy,8042,97084
53,Edgeblab,Clyde Gallagher,,86
54,Eayo,Portage,,7836
55,Youspan,Golf View,,70127
56,Yoveo,Summerview,,6227
57,Wordware,Ridgeway,607614,0
58,Demivee,Magdeline,86220,552
59,Pixoboo,Mayfield,284 92,9
60,Twitternation,Warbler,98442,5
61,Topicware,Almo,,74701
62,Skivee,Texas,3342,60
63,Gabtune,Pepper Wood,,341
64,Ntag,Bartelt,99000-000,58
65,Photojam,Lunder,50770,1852
66,Vinte,Hazelcrest,,18687
67,Eimbee,Cherokee,29251,1522
68,Katz,Artisan,29100-000,70601
69,Gevee,Scott,,5462
70,Flipbug,Northfield,,27
71,Zazio,Mcguire,56-300,77506
72,Oyondu,Grover,,95411
73,Dazzlesphere,Coolidge,2780-005,78445
74,Eimbee,Shopko,,636
75,Gevee,Pepper Wood,1315,6678
76,Blogpad,Nobel,,6595
77,Yamia,Corry,,2035
78,Mynte,Claremont,,6835
79,Flashset,Autumn Leaf,,2
80,Bluejam,Dakota,,98
81,Aimbo,Crowley,,49
82,Topicware,Donald,,641
83,Oba,1st,,8
84,Dabshots,Manufacturers,,22
85,Lazz,Green,12006,7
86,InnoZ,Transport,,4211
87,Aimbu,Bunker Hill,,34
88,Divape,Northridge,,30
89,Kanoodle,Chive,,7387
90,Wordtune,Summit,,598
91,Twitternation,Daystar,78764,275
92,Feedbug,Kennedy,,38
93,Twimbo,Stoughton,84-360,78123
94,Talane,Mendota,1043,02
95,Eare,Almo,,1571
96,Oba,Wayridge,083028,3
97,Roomm,Kenwood,183 15,68700
98,Edgeify,Kim,,7
99,Brightbean,Bluejay,86-160,0
100,Skaboo,Alpine,,63573
101,Meevee,Lakewood,,1615
102,Thoughtbridge,Hudson,,13631
103,Chatterpoint,Bultman,6344,580
104,Lazzy,Crownhardt,8720,937
105,Aivee,Armistice,,8
106,Fivespan,Summer Ridge,,2029
107,Oodoo,Old Gate,,983
108,Gevee,Monterey,9009,98
109,Aimbu,Helena,4615-325,42552
110,Meedoo,Carey,37-530,58
111,Flashset,Fieldstone,,863
112,Linklinks,Petterle,11130,24
113,Realblab,Golf,,1601
114,Fivechat,Monument,3870-123,8
115,Jabbercube,Luster,9811,07682
116,Jaxbean,Welch,44430,625
117,Buzzster,Hudson,,3888
118,Dablist,American Ash,1358,69741
119,Skinder,Melby,5001,4533
120,Rhycero,Fair Oaks,,89555
121,Blogpad,Prentice,,0
122,Skyble,Golden Leaf,,1
123,Youspan,Graedel,3090-710,171
124,Eare,Fieldstone,2320,61075
125,Browsecat,Charing Cross,,130
126,BlogXS,Hovde,522 24,5
127,Topicstorm,Upham,655138,37041
128,Tagchat,Barnett,,0112
129,Browsetype,Farmco,141309,606
130,Einti,Sage,2420-005,94
131,Wikibox,Ridgeway,,1470
132,Vipe,Burning Wood,,6439
133,Oba,Lawn,10307,7528
134,Shuffledrive,Starling,,02
135,Edgewire,Eastlawn,,0690
136,Cogibox,Dakota,,7687
137,Zoomdog,Westport,,7116
138,Aivee,Duke,7740,001
139,Wikivu,Dapin,,110
140,Fatz,Mayfield,,77
141,Brightdog,Knutson,26-333,479
142,Trudeo,Dennis,,34335
143,Wikivu,Miller,,75
144,Brightdog,Alpine,,648
145,Avaveo,Pawling,670-0013,3115
146,Bluezoom,Meadow Valley,36210,6262
147,Livefish,Bashford,,05
148,Babbleblab,Esker,37205 CEDEX 3,1
149,Tazzy,Hooker,D17,4
150,Brightdog,Huxley,126 31,35323
151,Dabfeed,Ruskin,162 55,992
152,Plajo,Union,80042 CEDEX 1,366
153,Realblab,Ryan,,313
154,Zoomlounge,Ronald Regan,398032,7438
155,Edgetag,Eastwood,,186
156,Eare,Doe Crossing,,86
157,Voonyx,Green Ridge,,648
158,Leenti,Bobwhite,,505
159,Realbuzz,Spenser,,14
160,Centimia,Oxford,,45840
161,Pixonyx,Glacier Hill,,33
162,Gigabox,Morning,818-0138,704
163,Flashset,Claremont,903 42,970
164,Wikizz,Grover,400 29,47887
165,Realmix,Jackson,,24914
166,Bubblebox,Westridge,394 03,3737
167,Zoovu,John Wall,180536,493
168,Geba,Killdeer,,141
169,Livefish,3rd,674660,07497
170,Cogilith,Montana,397815,010
171,Feedbug,Corry,,896
172,Photospace,Haas,87018,705
173,Skivee,Russell,,6
174,Jabbersphere,Lukken,,4
175,Devpulse,Tony,4690-282,96
176,Fadeo,Emmet,593 93,061
177,Yadel,Division,173 18,57928
178,Brainlounge,Lukken,72091 CEDEX 9,53
179,Buzzdog,Calypso,404102,11205
180,Vimbo,Green Ridge,,7
181,Realbuzz,Lotheville,,3636
182,Cogilith,Graceland,826 86,4
183,Plajo,Schlimgen,,90237
184,Jabberstorm,Sommers,7040-704,58045
185,Browsebug,Ilene,44460-000,6
186,Camimbo,Eastwood,,3961
187,Quatz,Sullivan,,089
188,Yamia,Transport,,30622
189,Twitternation,Oak,,5
190,Dazzlesphere,Springview,,76945
191,Flashpoint,Hintze,66-530,8
192,Viva,Homewood,,65
193,Flipopia,Carberry,,7
194,Babbleopia,Anthes,,18651
195,Miboo,Lawn,,5661
196,Buzzbean,Nova,,82132
197,Brightdog,Toban,,07921
198,Fatz,Reinke,,3
199,Ailane,Daystar,,3
